<DATE>,<TIME>,<LAST>,<VOL>
03/07/20,14:55:09,195.550000000,20
03/07/20,14:55:10,195.550000000,20
03/07/20,14:55:16,195.550000000,10
03/07/20,14:55:20,195.550000000,3260
03/07/20,14:55:20,195.550000000,20
03/07/20,14:55:20,195.550000000,1720
03/07/20,14:55:26,195.550000000,10
03/07/20,14:55:31,195.520000000,190
03/07/20,14:55:37,195.540000000,100
03/07/20,14:55:40,195.540000000,2000
03/07/20,14:55:46,195.550000000,90
03/07/20,14:55:53,195.550000000,3900
03/07/20,14:55:53,195.550000000,250
03/07/20,14:55:53,195.550000000,930
03/07/20,14:55:56,195.550000000,500
03/07/20,14:55:58,195.540000000,1370
03/07/20,14:55:58,195.540000000,30
03/07/20,14:55:58,195.530000000,10
03/07/20,14:55:58,195.520000000,430
03/07/20,14:55:58,195.520000000,100
03/07/20,14:55:58,195.500000000,20
03/07/20,14:55:58,195.500000000,50
03/07/20,14:55:58,195.500000000,40
03/07/20,14:55:58,195.500000000,400
03/07/20,14:55:58,195.500000000,30
03/07/20,14:55:58,195.500000000,10
03/07/20,14:55:58,195.500000000,1020
03/07/20,14:56:00,195.500000000,10
03/07/20,14:56:20,195.500000000,10
03/07/20,14:56:23,195.540000000,1260
03/07/20,14:56:23,195.550000000,3500
03/07/20,14:56:23,195.550000000,3500
03/07/20,14:56:23,195.550000000,2930
03/07/20,14:56:23,195.550000000,10
03/07/20,14:56:23,195.550000000,10
03/07/20,14:56:23,195.550000000,180
03/07/20,14:56:23,195.550000000,40
03/07/20,14:56:23,195.550000000,30
03/07/20,14:56:23,195.550000000,3500
03/07/20,14:56:25,195.550000000,1800
03/07/20,14:56:28,195.550000000,4000
03/07/20,14:56:29,195.550000000,4000
03/07/20,14:56:29,195.540000000,40
03/07/20,14:56:32,195.550000000,4000
03/07/20,14:56:32,195.550000000,20
03/07/20,14:56:32,195.550000000,90
03/07/20,14:56:32,195.550000000,100
03/07/20,14:56:32,195.550000000,4000
03/07/20,14:56:32,195.550000000,2000
03/07/20,14:56:32,195.550000000,1810
03/07/20,14:56:35,195.550000000,4000
03/07/20,14:56:45,195.550000000,10
03/07/20,14:56:45,195.540000000,10
03/07/20,14:56:46,195.550000000,1470
03/07/20,14:56:46,195.550000000,20
03/07/20,14:56:49,195.550000000,1230
03/07/20,14:56:56,195.550000000,20
03/07/20,14:56:59,195.550000000,10
03/07/20,14:57:08,195.550000000,1980
03/07/20,14:57:08,195.550000000,20
03/07/20,14:57:11,195.550000000,100
03/07/20,14:57:13,195.550000000,10
03/07/20,14:57:13,195.550000000,30
03/07/20,14:57:13,195.550000000,10
03/07/20,14:57:13,195.550000000,20
03/07/20,14:57:13,195.550000000,20
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,30
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,50
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,40
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,30
03/07/20,14:57:14,195.550000000,40
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,30
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,40
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,40
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,30
03/07/20,14:57:14,195.550000000,30
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,2020
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.540000000,10
03/07/20,14:57:14,195.540000000,40
03/07/20,14:57:14,195.550000000,40
03/07/20,14:57:14,195.550000000,30
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,10
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,20
03/07/20,14:57:14,195.550000000,20
